Zone,2016,2017,2018
Long Island,0.16081632653061223,0.19657142857142856,0.20881632653061227
N.Y.C.,0.397795918367347,0.3251836734693877,0.313795918367347
West,0.13734693877551019,0.08232653061224489,0.08906122448979592
Genesee,0.13734693877551019,0.08232653061224489,0.08906122448979592
Central,0.13734693877551019,0.08232653061224489,0.08906122448979592
North,0.13734693877551019,0.08232653061224489,0.08906122448979592
Mohawk Valley,0.13734693877551019,0.08232653061224489,0.08906122448979592
Capital,0.13734693877551019,0.08232653061224489,0.08906122448979592
Hudson Valley,0.3009387755102041,0.31457142857142856,0.31367346938775514
Millwood,0.3009387755102041,0.31457142857142856,0.31367346938775514
Dunwoodie,0.3009387755102041,0.31457142857142856,0.31367346938775514
